time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
0;0;0.0;0.0;4.1;663252;1776076;27;3.0;19;8.0;0.0;8.0;7.0;3.0;2.0;7.0;3.0
1;0;0.0;0.0;4.1;663252;1776076;27;3.9;19;9.0;1.00;9.0;9.0;1.00;0.0;9.0;2.0
2;1;6040.114746;49363.898438;4.4;708124;1781740;27;4.1;19;9.9;2.9;11;9.9;5.9;7.9;9.9;6.9
3;1;99424.000000;53464.000000;4.4;708124;1781740;27;3.9;19;8.0;2.0;10;9.0;2.0;2.0;10;0.0
4;1;86512.000000;50632.000000;4.4;708124;1781740;27;3.9;19;8.0;1.00;10;9.0;1.00;1.00;10;3.0
5;1;100424.000000;131560.000000;4.4;708124;1781740;27;4.0;19;8.9;1.9;11;8.9;1.9;0.90;11;0.0
6;1;126656.000000;205792.000000;4.4;708124;1781740;27;4.3;19;7.9;0.0;11;7.9;3.9;0.90;12;0.90
7;1;38128.000000;57904.000000;4.4;708124;1781740;27;3.8;19;6.9;1.9;9.9;8.9;0.0;0.90;11;0.90
8;1;56;1256.000000;4.4;708124;1781740;27;3.6;19;6.9;2.9;8.9;7.9;0.90;0.90;9.9;0.0
9;1;1424.000000;4536.000000;4.4;708124;1781740;27;3.6;19;8.0;2.0;10;8.0;0.0;1.00;11;1.00
10;1;56;1256.000000;4.4;708124;1781740;27;3.8;19;7.0;3.0;9.0;8.0;0.0;0.0;11;0.0
11;1;1176.000000;8448.000000;4.4;708124;1781740;27;3.8;19;8.0;2.0;10;8.0;1.00;1.00;11;1.00
12;1;112;0.0;4.4;708124;1781740;27;3.9;19;9.9;0.90;9.9;8.9;2.9;1.9;9.9;0.0
13;1;712;0.0;4.4;708124;1781740;27;3.9;19;9.0;2.0;10;10;1.00;2.0;9.0;2.0
14;1;6651.685547;55280.898438;4.4;708348;1777964;27;4.1;19;9.0;2.0;10;11;1.00;2.0;10;4.0
15;1;56;4136.000000;4.4;708348;1777964;27;3.8;19;8.0;1.00;10;9.0;0.0;1.00;11;3.0
16;1;155024.000000;44320.000000;4.4;708348;1777964;27;3.9;19;8.9;0.90;9.9;8.9;1.9;0.0;9.9;1.9
17;1;14816.000000;57096.000000;4.4;708348;1777964;27;3.8;19;8.0;1.00;9.0;9.0;1.00;1.00;10;2.0
18;1;15424.000000;43920.000000;4.4;708348;1777964;27;3.8;19;6.9;0.90;9.9;8.9;0.0;0.0;11;2.9
19;1;17632.000000;54096.000000;4.4;708348;1777964;27;3.8;19;6.9;0.0;9.9;8.9;0.0;0.90;11;2.9
20;1;16424.000000;52704.000000;4.4;708348;1777964;27;3.8;19;8.0;1.00;10;8.0;3.0;1.00;11;0.0
21;1;17624.000000;53840.000000;4.4;708348;1777964;27;3.8;19;6.9;0.90;8.9;8.9;2.9;0.90;12;0.90
22;1;7432.000000;39528.000000;4.4;708348;1777964;27;3.6;19;8.0;1.00;10;9.0;3.0;1.00;10;1.00
