time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
0;0;0.0;0.0;4.1;663680;1907212;28;3.2;19;8.0;10;10;17;5.0;12;5.0;9.0
1;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;9.9;11;18;5.9;11;6.9;8.9
2;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;11;13;11;25;7.9;13;8.9;11
3;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.0;12;13;18;6.0;12;7.0;8.0
4;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;13;11;17;5.9;8.9;5.9;7.9
5;0;0.0;0.0;4.1;663680;1907212;28;3.8;19;9.0;11;11;18;6.0;10;7.0;8.0
6;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;12;11;18;6.0;10;7.0;9.0
7;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.0;12;11;17;6.0;10;6.0;8.0
8;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;12;9.9;17;5.9;11;5.9;7.9
9;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;11;10;17;6.0;10;6.0;8.0
10;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;12;11;18;5.9;9.9;5.9;8.9
11;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;11;11;17;5.9;11;6.9;7.9
12;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;8.9;13;11;18;4.9;9.9;5.9;8.9
13;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;12;11;17;5.9;11;5.9;8.9
14;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;10;11;11;17;6.0;11;7.0;8.0
15;0;0.0;0.0;4.1;663680;1907212;28;3.8;19;10;13;11;17;6.0;9.0;7.0;9.0
16;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.0;11;11;17;5.0;11;6.0;10
17;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;12;11;18;4.9;9.9;5.9;7.9
18;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;12;11;18;5.9;11;5.9;8.9
19;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;7.9;12;11;18;4.9;11;5.9;9.9
20;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;10;12;11;18;6.0;11;6.0;9.0
21;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;12;11;18;5.9;11;5.9;8.9
22;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;9.9;12;11;17;5.9;11;6.9;9.9
23;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;12;11;9.9;19;5.9;11;5.9;9.9
24;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;10;11;17;6.0;10;6.0;9.0
25;0;0.0;0.0;4.1;663680;1907212;28;3.8;19;9.0;12;12;16;6.0;10;6.0;8.0
26;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;12;9.9;17;4.9;9.9;5.9;9.9
27;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;11;11;17;5.9;12;5.9;8.9
28;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;11;9.9;17;4.9;9.9;5.9;8.9
29;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.0;10;11;17;6.0;11;6.0;10
30;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;11;11;18;6.0;10;6.0;9.0
31;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;11;11;17;5.9;11;5.9;8.9
32;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;13;10;18;6.0;10;6.0;9.0
33;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;8.9;13;11;17;5.9;9.9;5.9;8.9
34;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.9;12;9.9;17;4.9;9.9;6.9;8.9
35;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.0;11;11;18;6.0;11;6.0;9.0
36;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;11;16;13;19;8.9;17;11;16
37;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;10;12;11;18;5.0;11;6.0;8.0
38;0;0.0;0.0;4.1;663680;1907212;28;3.8;19;9.0;11;11;17;6.0;11;6.0;9.0
39;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.9;12;11;17;5.9;9.9;5.9;8.9
40;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.0;13;11;16;5.0;10;6.0;9.0
41;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.0;12;11;17;6.0;11;7.0;9.0
42;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;11;13;9.9;17;5.9;9.9;5.9;8.9
43;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;10;12;10;18;6.0;10;6.0;9.0
44;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;8.9;11;11;17;5.9;11;5.9;8.9
45;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;8.9;13;9.9;17;5.9;8.9;4.9;8.9
46;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;12;12;18;5.9;11;6.9;7.9
47;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;13;11;17;4.9;8.9;6.9;9.9
48;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;12;10;17;6.0;10;6.0;8.0
49;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;9.0;13;11;17;6.0;10;6.0;9.0
50;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;11;11;18;5.9;11;5.9;7.9
51;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;10;11;11;17;6.0;10;7.0;8.0
52;0;0.0;0.0;4.1;663680;1907212;28;4.0;19;8.9;14;9.9;17;4.9;9.9;5.9;8.9
53;0;0.0;0.0;4.1;663680;1907212;28;3.9;19;9.0;13;12;18;6.0;10;7.0;9.0
54;0;0.0;0.0;4.1;663680;1907212;28;4.1;19;7.9;13;11;17;4.9;9.9;5.9;7.9
55;0;0.0;0.0;4.1;663680;1907212;28;3.8;19;9.0;12;11;17;6.0;10;6.0;9.0
56;1;0.0;0.0;4.4;708552;1912876;28;4.4;19;11;13;11;18;7.0;11;7.0;10
57;1;0.0;0.0;4.4;708552;1912876;28;4.2;19;9.0;12;11;18;6.0;11;6.0;10
58;2;2315.789551;1473.684204;4.4;708552;1912876;28;4.1;19;10;12;11;17;6.0;12;6.0;9.0
59;2;8341.708984;45708.542969;4.4;715200;1912876;28;4.3;19;12;11;12;18;7.9;9.9;6.9;9.9
60;1;0.0;0.0;4.4;715200;1912876;28;4.8;19;13;12;11;18;7.0;11;7.0;11
61;2;265737.718750;272672.125000;4.4;715200;1912876;28;4.1;19;11;12;11;18;6.0;11;7.0;10
62;2;28088.000000;78656.000000;4.4;715200;1912876;28;4.2;19;10;10;11;17;7.0;11;7.0;10
63;2;194576.000000;23176.000000;4.4;715200;1912876;28;4.1;19;10;14;11;18;6.0;10;7.0;10
64;2;1158816.000000;34016.000000;4.4;715200;1912876;28;4.5;19;11;11;11;19;5.9;9.9;6.9;8.9
65;2;0.0;0.0;4.4;715200;1912876;28;4.0;19;9.0;11;10;17;7.0;10;7.0;9.0
66;2;280;2024.000000;4.4;715200;1912876;28;4.1;19;10;11;11;17;6.0;10;8.0;10
67;2;112;1256.000000;4.4;715200;1912876;28;4.0;19;11;11;9.9;18;5.9;11;5.9;8.9
68;2;56;1256.000000;4.4;715200;1912876;28;4.0;19;12;11;9.9;18;5.9;9.9;5.9;7.9
69;2;56;4264.000000;4.4;715200;1912876;28;4.1;19;11;11;10;17;6.0;10;5.0;9.0
70;2;112;4268.268066;4.4;715200;1912876;28;4.1;19;9.9;12;12;17;5.9;9.9;5.9;8.9
71;2;28432.000000;77632.000000;4.4;715200;1912876;28;4.2;19;9.0;14;10;18;6.0;9.0;7.0;9.0
72;2;18184.000000;5656.000000;4.4;715200;1912876;28;4.0;19;9.0;15;11;16;5.0;10;6.0;8.0
73;2;652936.000000;33928.000000;4.4;715200;1912876;28;4.2;19;11;11;11;18;6.0;11;6.0;9.0
74;2;653496.000000;40088.000000;4.4;715200;1912876;28;4.0;19;11;9.9;9.9;17;5.9;9.9;5.9;9.9
75;2;56;4264.000000;4.4;715200;1912876;28;4.0;19;9.9;12;11;17;5.9;11;5.9;7.9
76;2;56;4264.000000;4.4;715200;1912876;28;4.1;19;10;11;10;17;5.0;10;6.0;9.0
77;2;56;4392.000000;4.4;715200;1912876;28;4.0;19;11;9.9;9.9;18;6.9;11;5.9;8.9
78;2;171336.000000;210704.000000;4.4;715200;1912876;28;4.4;19;12;12;11;17;5.9;9.9;5.9;8.9
79;2;84160.000000;78936.000000;4.4;715200;1912876;28;4.2;19;11;11;11;17;6.0;10;6.0;9.0
80;2;55888.000000;68088.000000;4.4;715200;1912876;28;4.6;19;12;7.9;12;18;5.9;8.9;11;11
81;2;134752.000000;374720.000000;4.4;715200;1912876;28;5.6;19;14;7.0;12;18;7.0;10;13;13
82;2;133648.000000;244280.000000;4.4;715200;1912876;28;5.1;19;13;5.9;12;18;6.9;8.9;11;12
83;2;151024.000000;62032.000000;4.4;715200;1912876;28;4.1;19;12;6.9;11;16;6.9;8.9;11;7.9
