time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
0;0;0.0;0.0;4.3;701628;1710468;49;3.3;19;6.9;0.90;1.9;9.9;2.9;4.9;2.9;9.9
1;0;0.0;0.0;4.3;701628;1710468;49;4.0;19;9.9;0.90;2.9;8.9;4.9;5.9;2.9;8.9
2;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;9.9;1.9;2.9;16;6.9;5.9;7.9;9.9
3;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;9.0;2.0;0.0;11;4.0;6.0;3.0;9.0
4;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;10;2.0;2.0;10;4.0;5.0;3.0;8.0
5;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;8.9;0.90;2.9;11;3.9;4.9;1.9;8.9
6;0;0.0;0.0;4.3;701628;1710468;49;3.8;19;10;0.0;2.0;10;4.0;5.0;3.0;9.0
7;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;8.9;0.90;1.9;12;4.9;5.9;2.9;8.9
8;0;0.0;0.0;4.3;701628;1710468;49;4.1;19;9.9;0.90;0.0;12;3.9;6.9;2.9;8.9
9;0;0.0;0.0;4.3;701628;1710468;49;3.9;19;10;1.00;1.00;11;4.0;6.0;4.0;9.0
10;0;0.0;0.0;4.3;701628;1710468;49;3.8;19;10;0.0;3.0;9.0;4.0;5.0;2.0;9.0
11;0;0.0;0.0;4.3;703472;1710468;49;4.1;19;11;2.9;0.90;11;3.9;5.9;4.9;8.9
12;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;9.9;0.0;2.9;11;3.9;4.9;2.9;9.9
13;0;0.0;0.0;4.3;703472;1710468;49;3.8;19;9.0;1.00;3.0;10;4.0;6.0;2.0;9.0
14;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;7.9;0.90;0.90;12;3.9;4.9;2.9;8.9
15;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;9.0;3.0;1.00;11;4.0;6.0;3.0;9.0
16;0;0.0;0.0;4.3;703472;1710468;49;4.0;19;9.9;1.9;0.90;9.9;4.9;5.9;2.9;8.9
17;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;9.0;2.0;0.0;11;4.0;6.0;4.0;9.0
18;0;0.0;0.0;4.3;703472;1710468;49;4.0;19;8.9;1.9;0.90;11;3.9;5.9;2.9;8.9
19;0;0.0;0.0;4.3;703472;1710468;49;3.8;19;9.0;3.0;0.0;11;4.0;5.0;3.0;9.0
20;0;0.0;0.0;4.3;703472;1710468;49;4.0;19;8.9;1.9;0.90;9.9;4.9;5.9;2.9;8.9
21;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;18;1.9;1.9;11;3.9;5.9;3.9;9.9
22;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;8.9;0.90;1.9;11;4.9;5.9;2.9;8.9
23;0;0.0;0.0;4.3;703472;1710468;49;3.8;19;8.9;2.9;0.0;11;3.9;4.9;2.9;7.9
24;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;9.0;2.0;0.0;10;4.0;6.0;3.0;8.0
25;0;0.0;0.0;4.3;703472;1710468;49;3.8;19;9.9;0.90;1.9;11;3.9;4.9;2.9;9.9
26;0;0.0;0.0;4.3;703472;1710468;49;3.9;19;9.0;2.0;1.00;10;4.0;6.0;3.0;9.0
