time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
0;0;0.0;0.0;4.1;663276;1710680;28;3.1;19;4.9;7.9;0.90;6.9;0.0;2.9;0.90;8.9
1;0;0.0;0.0;4.1;663276;1710680;28;3.9;19;8.0;9.0;0.0;9.0;0.0;3.0;0.0;12
2;0;0.0;0.0;4.1;663276;1710680;29;4.0;19;8.9;8.9;2.9;8.9;9.9;3.9;0.90;11
3;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;7.0;9.0;0.0;9.0;1.00;2.0;1.00;11
4;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;8.9;8.9;0.90;7.9;2.9;0.90;0.90;11
5;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;7.9;7.9;0.90;8.9;1.9;0.0;0.90;11
6;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;7.9;8.9;0.90;8.9;2.9;0.0;0.0;11
7;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;9.0;9.0;1.00;9.0;3.0;1.00;1.00;11
8;0;0.0;0.0;4.1;663276;1710680;29;4.0;19;8.0;8.0;1.00;9.0;3.0;0.0;0.0;11
9;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;8.0;9.0;1.00;9.0;2.0;0.0;1.00;11
10;0;0.0;0.0;4.1;663276;1710680;29;3.9;19;8.9;8.9;0.90;8.9;2.9;0.0;0.0;11
11;0;0.0;0.0;4.1;663276;1710680;29;4.0;19;8.0;8.0;1.00;8.0;3.0;1.00;0.0;11
12;0;0.0;0.0;4.1;663276;1710680;28;3.9;19;8.0;9.0;1.00;9.0;3.0;1.00;1.00;11
13;0;0.0;0.0;4.1;663276;1710680;28;3.9;19;7.9;7.9;0.90;8.9;2.9;0.0;0.90;11
14;0;0.0;0.0;4.1;663276;1710680;28;4.0;19;9.0;9.0;1.00;9.0;3.0;1.00;0.0;11
15;0;0.0;0.0;4.1;663276;1710680;28;3.8;19;7.9;7.9;0.90;8.9;1.9;0.0;0.90;11
16;0;0.0;0.0;4.1;663276;1710680;28;4.0;19;8.0;9.0;1.00;9.0;3.0;0.0;0.0;11
17;0;0.0;0.0;4.1;663276;1710680;28;3.8;19;8.0;9.0;1.00;8.0;3.0;1.00;1.00;11
