time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
0;0;0.0;0.0;4.1;663052;1775996;21;3.1;19;4.9;2.9;8.9;7.9;0.90;6.9;7.9;2.9
1;0;0.0;0.0;4.1;663052;1775996;21;3.9;19;6.0;3.0;5.0;8.0;0.0;5.0;10;6.0
2;0;0.0;0.0;4.1;663052;1775996;21;4.0;19;6.9;3.9;5.9;19;0.0;6.9;8.9;4.9
3;0;0.0;0.0;4.3;701736;1775996;21;4.0;19;5.9;3.9;4.9;11;1.9;3.9;11;1.9
4;0;0.0;0.0;4.3;701736;1775996;21;3.9;19;5.0;4.0;6.0;13;0.0;2.0;10;2.0
5;0;0.0;0.0;4.3;701736;1775996;21;4.0;19;4.9;3.9;5.9;13;0.0;0.90;8.9;1.9
6;0;0.0;0.0;4.3;701736;1775996;21;3.8;19;6.0;3.0;5.0;14;0.0;1.00;10;3.0
7;0;0.0;0.0;4.3;701736;1775996;21;3.9;19;6.0;4.0;5.0;12;1.00;1.00;9.0;1.00
8;0;0.0;0.0;4.3;701736;1775996;21;3.8;19;6.9;2.9;6.9;12;0.0;0.90;9.9;0.0
9;0;0.0;0.0;4.3;701736;1775996;21;3.6;19;6.9;2.9;4.9;12;0.0;0.90;7.9;0.90
10;0;0.0;0.0;4.3;701736;1775996;21;3.6;19;4.9;3.9;5.9;12;1.9;0.90;8.9;0.0
11;0;0.0;0.0;4.3;701736;1775996;21;3.8;19;6.0;3.0;5.0;12;2.0;1.00;9.0;0.0
12;0;0.0;0.0;4.3;701736;1775996;21;3.8;19;6.0;4.0;5.0;14;1.00;1.00;9.0;2.0
13;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;5.9;2.9;4.9;13;0.90;0.90;11;2.9
14;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;4.9;3.9;4.9;12;1.9;1.9;8.9;0.90
15;0;0.0;0.0;4.3;703580;1775996;21;3.6;19;5.0;3.0;5.0;12;2.0;0.0;9.0;1.00
16;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;5.9;2.9;4.9;12;2.9;0.0;8.9;0.90
17;0;0.0;0.0;4.3;703580;1775996;21;3.5;19;5.0;3.0;6.0;12;2.0;0.0;8.0;1.00
18;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;5.0;4.0;5.0;12;3.0;1.00;9.0;1.00
19;0;0.0;0.0;4.3;703580;1775996;21;3.5;19;5.9;2.9;4.9;12;1.9;0.90;8.9;0.0
20;0;0.0;0.0;4.3;703580;1775996;21;3.6;19;5.0;4.0;5.0;12;1.00;2.0;9.0;1.00
21;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;5.0;4.0;5.0;12;0.0;3.0;9.0;1.00
22;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;5.9;3.9;4.9;12;0.0;2.9;8.9;0.90
23;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;4.9;2.9;5.9;12;0.0;1.9;8.9;0.90
24;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;5.9;3.9;3.9;13;0.0;2.9;9.9;0.90
25;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;4.9;3.9;4.9;12;0.0;2.9;9.9;0.90
26;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;5.9;3.9;4.9;12;0.0;1.9;8.9;0.90
27;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;6.0;4.0;5.0;12;0.0;3.0;10;1.00
28;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;6.0;3.0;5.0;12;1.00;3.0;10;1.00
29;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;4.9;3.9;4.9;12;0.0;1.9;8.9;0.90
30;0;0.0;0.0;4.3;703580;1775996;21;3.8;19;6.0;4.0;5.0;12;0.0;3.0;10;1.00
31;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;4.9;3.9;4.9;13;0.0;1.9;9.9;0.90
32;0;0.0;0.0;4.3;703580;1775996;21;3.9;19;6.0;3.0;5.0;14;0.0;1.00;9.0;3.0
