time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;18;695160;1546268;90;8.3;20;12;14;16;5.9
1;0;0.0;0.0;18;695160;1546268;90;10;20;14;10;16;6.0
2;0;0.0;0.0;18;695160;1546268;90;10;20;14;6.0;17;12
3;1;7757.575684;13252.525391;19;735544;1679228;90;10;20;17;10;18;11
4;1;50560.000000;209688.000000;19;740032;1683004;90;12;20;20;32;19;11
5;1;126744.000000;278624.000000;19;740032;1683004;90;12;20;19;8.0;21;14
6;1;244264.000000;144288.000000;19;740032;1683004;90;12;20;18;7.9;18;13
7;1;280;13768.000000;19;740032;1683004;90;10;20;14;6.0;16;12
8;1;143528.000000;452312.000000;19;740032;1683004;90;12;20;20;10;18;13
9;1;111360.640625;271816.187500;19;740032;1683004;90;12;20;19;6.9;18;15
10;1;534848.000000;214168.000000;19;740032;1683004;90;12;20;18;8.0;18;13
11;1;109672.000000;359200.000000;19;740032;1683004;90;12;20;19;6.9;18;12
12;1;728;45360.000000;19;740032;1683004;90;11;20;17;6.9;16;12
13;1;40632.000000;170448.000000;19;740032;1683004;90;11;20;17;5.9;17;12
14;1;47152.000000;151264.000000;19;740032;1683004;90;11;20;17;7.0;17;14
15;1;24200.000000;31168.000000;19;740032;1683004;90;11;20;15;7.9;17;18
16;1;45184.000000;80992.000000;19;740032;1683004;90;11;20;17;6.9;18;13
17;1;3552.000000;47904.000000;19;740032;1683004;90;10;20;15;7.0;16;11
18;1;4664.000000;50376.000000;19;740032;1683004;90;11;20;16;6.0;17;12
19;1;23000.000000;60320.000000;19;740032;1683004;90;11;20;16;5.9;17;12
20;1;560;43280.000000;19;740032;1683004;90;10;20;16;6.0;16;17
21;1;224;17056.000000;19;740032;1683004;90;11;20;15;5.9;17;12
22;1;504;39528.000000;19;740032;1683004;90;10;20;16;6.0;16;13
23;1;7976.000000;116472.000000;19;740032;1683004;90;11;20;17;8.0;18;14
24;1;19624.000000;68048.000000;19;740032;1748540;90;11;20;16;6.9;16;13
25;1;224;16672.000000;19;740032;1748540;90;10;20;16;7.0;17;15
26;1;280;21192.000000;19;740032;1748540;90;11;20;16;5.9;17;12
27;1;224;17056.000000;19;740032;1748540;90;10;20;18;8.0;19;13
28;1;280;21320.000000;19;740032;1748540;90;11;20;16;6.9;18;13
29;1;30544.000000;72488.000000;19;740032;1748540;90;11;20;16;5.9;17;12
30;1;280;21320.000000;19;740032;1748540;90;11;20;18;7.9;20;15
31;1;280;25456.000000;19;740032;1814076;90;14;20;28;27;29;35
32;1;1800.000000;34112.000000;19;740032;1814076;91;14;20;25;22;28;23
33;1;840;29848.000000;19;740032;1814076;91;11;20;19;13;19;8.0
34;1;280;21320.000000;19;740032;1814076;90;11;20;17;13;19;7.0
35;1;280;21320.000000;19;740032;1814076;90;11;20;25;16;22;7.9
36;1;1272.000000;25584.000000;19;740032;1814076;90;11;20;18;11;18;6.9
37;1;336;25584.000000;19;740032;1814076;90;11;20;18;10;19;6.0
38;1;1688.000000;124304.000000;19;740032;1814076;90;11;20;18;13;18;8.0
39;1;36328.000000;64544.000000;19;740032;1814076;90;11;20;17;13;19;6.9
40;1;3248.000000;34112.000000;19;740032;1814076;90;11;20;18;11;19;8.0
41;1;280;21448.000000;19;740032;1814076;90;11;20;17;9.9;18;5.9
42;1;168;12523.476562;19;740032;1814076;90;11;20;17;11;19;7.0
43;1;1288.000000;76592.000000;19;740032;1814076;90;11;20;18;11;18;5.9
44;1;23751.751953;66666.664062;19;740032;1814076;90;11;20;17;13;19;8.9
45;1;4416.000000;22744.000000;19;740032;1814076;90;10;20;18;11;18;8.0
46;1;224;16911.089844;19;740032;1814076;90;11;20;18;9.0;19;5.0
47;1;4104.000000;17056.000000;19;740032;1814076;90;11;20;18;9.9;18;5.9
48;1;224;16800.000000;19;740032;1814076;90;11;20;18;9.9;18;5.9
49;1;168;12536.000000;19;740032;1814076;90;11;20;20;14;20;9.0
50;1;1592.000000;21192.000000;19;740032;1814076;90;12;20;21;16;20;14
51;1;168;12792.000000;19;740032;1814076;90;13;20;19;20;22;12
52;1;280;21448.000000;19;740032;1814076;90;11;20;18;9.9;18;6.9
53;1;168;6288.000000;19;740032;1814076;90;11;20;17;11;18;7.0
54;1;224;16032.000000;19;740032;1814076;90;11;20;18;12;18;6.0
55;1;168;12664.000000;19;740032;1814076;90;11;20;22;16;21;13
#eof
