time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;21;828204;1287160;45;1.5;16;2.8;3.8;2.8;2.8
1;0;0.0;0.0;21;828204;1287160;45;1.5;16;6.9;6.9;7.9;4.9
2;0;0.0;0.0;21;828204;1287160;45;1.5;16;9.0;10;11;4.0
3;0;0.0;0.0;21;828204;1287160;45;1.5;16;5.0;7.0;8.0;10
4;0;0.0;0.0;21;828204;1287160;65;1.8;16;9.9;53;15;47
5;0;0.0;0.0;21;828204;1287160;65;1.8;16;7.9;9.9;6.9;7.9
6;0;0.0;0.0;21;828204;1287160;65;1.5;16;8.0;12;19;14
7;0;0.0;0.0;21;828204;1287160;65;1.8;16;5.9;9.9;7.9;7.9
8;0;0.0;0.0;21;828204;1287160;65;1.5;16;5.0;6.0;5.0;6.0
9;0;0.0;0.0;21;828204;1287160;65;1.3;16;3.9;5.9;3.9;4.9
10;0;0.0;0.0;21;828204;1287160;65;1.3;16;2.9;6.9;2.9;4.9
11;0;0.0;0.0;21;828204;1287160;65;1.5;16;3.0;5.0;3.0;4.0
12;0;0.0;0.0;21;828204;1287160;65;1.3;16;2.9;4.9;2.9;4.9
13;0;0.0;0.0;21;828204;1287160;65;1.2;16;4.0;4.0;3.0;4.0
14;0;0.0;0.0;21;828204;1287160;65;1.5;16;2.9;4.9;2.9;4.9
15;0;0.0;0.0;21;828204;1287160;65;1.3;16;2.9;3.9;2.9;3.9
16;0;0.0;0.0;21;828204;1287160;65;1.2;16;3.0;8.0;3.0;4.0
17;0;0.0;0.0;21;828204;1287160;65;1.5;16;2.9;4.9;2.9;4.9
18;0;0.0;0.0;21;828204;1287160;65;1.3;16;2.9;4.9;2.9;4.9
19;0;0.0;0.0;21;828204;1287160;65;1.2;16;9.0;9.0;7.0;7.0
20;0;0.0;0.0;21;828204;1287160;65;2.0;16;5.0;10;22;7.0
21;0;0.0;0.0;21;828204;1287160;65;1.5;16;14;17;49;28
22;0;0.0;0.0;21;828204;1287160;66;1.8;16;72;35;14;14
23;0;0.0;0.0;21;828204;1287160;66;2.2;16;74;35;34;23
24;0;0.0;0.0;21;828204;1287160;68;1.5;16;65;20;56;42
25;0;0.0;0.0;21;828204;1287160;71;1.8;16;76;35;34;37
26;0;0.0;0.0;21;828204;1287160;71;1.8;16;30;60;31;57
27;0;0.0;0.0;21;828204;1287160;72;1.8;16;68;51;38;27
28;0;0.0;0.0;21;828204;1287160;73;2.8;16;74;58;53;32
29;0;0.0;0.0;21;828204;1287160;74;2.2;16;76;53;52;51
30;0;0.0;0.0;21;828204;1287160;75;1.5;16;66;54;85;57
31;0;0.0;0.0;21;828204;1287160;76;1.5;16;72;68;83;98
32;0;0.0;0.0;21;828204;1287160;76;1.8;16;93;77;75;93
33;0;0.0;0.0;21;828204;1287160;78;1.5;16;90;76;27;50
34;0;0.0;0.0;21;828204;1287160;80;2.5;16;34;46;44;51
35;0;0.0;0.0;21;828204;1287160;80;1.8;16;77;54;44;46
36;0;0.0;0.0;21;828204;1287160;83;2.0;16;83;98;72;92
37;0;0.0;0.0;21;828204;1287160;85;2.0;16;96;91;79;97
38;0;0.0;0.0;21;828204;1287160;86;2.0;16;92;98;80;88
39;0;0.0;0.0;21;828204;1287160;88;2.3;16;70;53;81;82
40;0;0.0;0.0;21;828204;1287160;88;1.5;16;57;56;49;69
41;0;0.0;0.0;21;828204;1287160;88;1.8;16;43;56;36;40
42;0;0.0;0.0;21;828204;1287160;88;1.3;16;9.9;26;41;16
43;0;0.0;0.0;21;828204;1287160;88;1.2;16;4.0;9.0;11;4.0
44;0;0.0;0.0;21;828204;1287160;88;1.5;16;3.9;6.9;5.9;3.9
45;0;0.0;0.0;21;828204;1287160;88;1.5;16;2.9;6.9;6.9;4.9
46;0;0.0;0.0;21;828204;1287160;88;1.3;16;8.9;6.9;6.9;4.9
47;0;0.0;0.0;21;828204;1287160;88;1.2;16;3.0;7.0;10;5.0
48;0;0.0;0.0;21;828204;1287160;87;1.5;16;41;16;6.9;9.9
49;0;0.0;0.0;21;828204;1287160;87;1.2;16;6.0;8.0;8.0;8.0
50;0;0.0;0.0;21;828204;1287160;87;1.5;16;3.9;5.9;4.9;4.9
51;0;0.0;0.0;21;828204;1287160;87;1.2;16;4.0;5.0;5.0;3.0
52;0;0.0;0.0;21;828204;1287160;86;1.5;16;6.9;8.9;11;7.9
53;0;0.0;0.0;21;828204;1287160;86;1.5;16;6.0;8.0;9.0;6.0
54;0;0.0;0.0;21;828204;1287160;86;1.3;16;2.9;4.9;8.9;3.9
55;0;0.0;0.0;21;828204;1287160;86;1.3;16;3.9;4.9;4.9;3.9
56;0;0.0;0.0;21;828204;1287160;86;1.5;16;2.0;5.0;6.0;3.0
57;0;0.0;0.0;21;828204;1287160;86;1.0;16;2.9;4.9;7.9;3.9
58;0;0.0;0.0;21;828204;1287160;86;1.5;16;3.9;4.9;5.9;2.9
59;0;0.0;0.0;21;828204;1287160;86;1.5;16;6.0;5.0;7.0;3.0
60;0;0.0;0.0;21;828204;1287160;86;1.3;16;5.9;6.9;6.9;4.9
61;0;0.0;0.0;21;828204;1287160;86;1.5;16;4.0;6.0;5.0;3.0
62;0;0.0;0.0;21;828204;1287160;86;1.5;16;7.9;11;11;4.9
63;0;0.0;0.0;21;828204;1287160;87;1.8;16;27;15;21;17
64;0;0.0;0.0;21;828204;1287160;86;1.3;16;6.9;25;14;3.9
65;0;0.0;0.0;21;828204;1287160;86;1.8;16;4.0;8.0;8.0;5.0
66;0;0.0;0.0;21;828204;1287160;85;1.5;16;14;15;15;14
67;0;0.0;0.0;21;828204;1287160;85;1.2;16;8.0;10;9.0;7.0
68;0;0.0;0.0;21;828204;1287160;85;1.5;16;3.0;5.0;5.0;4.0
69;0;0.0;0.0;21;828204;1287160;85;1.0;16;4.0;5.0;7.0;4.0
70;0;0.0;0.0;21;828204;1287160;85;1.5;16;1.9;3.9;5.9;3.9
71;0;0.0;0.0;21;828204;1287160;85;1.3;16;2.9;4.9;4.9;2.9
72;0;0.0;0.0;21;828204;1287160;85;1.3;16;2.9;3.9;4.9;2.9
73;0;0.0;0.0;21;828204;1287160;85;1.5;16;3.0;5.0;5.0;4.0
74;0;0.0;0.0;21;828204;1287160;85;1.2;16;4.0;5.0;4.0;3.0
75;0;0.0;0.0;21;828204;1287160;85;1.5;16;1.9;4.9;7.9;2.9
76;0;0.0;0.0;21;828204;1287160;85;1.2;16;3.0;5.0;4.0;2.0
77;0;0.0;0.0;21;828204;1287160;85;1.2;16;4.0;4.0;5.0;3.0
