time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
997;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;93;1.5;17;6.8;14;7.8;9.8
1996;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;93;1.8;17;5.0;10;8.0;12
2995;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;93;1.3;17;6.9;4.9;7.9;7.9
3994;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;93;1.5;17;15;12;18;18
4993;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;93;1.8;17;19;25;19;27
5992;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;94;2.0;17;37;26;33;25
6991;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;94;1.8;17;47;72;41;50
7990;0;368500;20;68;0.0;0.000017;n/a;n/a;n/a;5.0;156;1.0;5161.290527;0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;757288;1510764;94;4.5;17;43;41;35;50
8989;0;368500;20;67;0.0;-0.0000097;n/a;n/a;n/a;16;164;1.0;398610.781250;0;0.0;0.0;0.0;28;0.0;908215.562500;0;0.0;0.0;0.0;0.0;9.4;757548;1510764;94;4.5;17;62;49;51;79
9988;0;368500;20;60;0.0;-0.000023;n/a;n/a;n/a;28;inf;1.0;1876311.375000;0;0.0;0.0;0.0;28;34;2269221.500000;0;0.0;0.0;0.0;0.0;9.6;766260;1584496;94;5.2;18;38;37;37;40
10987;0;368500;20;76;0.0;-0.000022;n/a;n/a;n/a;28;inf;1.0;209734.937500;0;0.0;0.0;0.0;28;0.0;684867.500000;0;0.0;0.0;0.0;0.0;9.6;766260;1584496;94;4.5;18;30;34;31;35
11986;0;368500;20;78;0.0;-0.000020;n/a;n/a;n/a;0.0;164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;766260;1584496;94;4.3;18;26;24;25;27
