time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;14;1140736;1665404;78;1.5;19;12;9.8;15;8.8
1;0;0.0;0.0;14;1140736;1665404;78;1.3;19;1.9;3.9;2.9;5.9
2;0;0.0;0.0;14;1140736;1665404;86;1.2;19;21;16;5.0;9.0
3;0;0.0;0.0;14;1140736;1665404;90;1.8;19;22;58;23;23
4;0;0.0;0.0;14;1140736;1665404;90;1.5;19;8.9;9.9;7.9;19
5;0;0.0;0.0;14;1140736;1665404;90;2.0;19;24;31;20;23
6;0;0.0;0.0;14;1140736;1665404;90;1.5;19;37;26;27;25
7;0;0.0;0.0;14;1140736;1665404;90;2.0;19;82;22;37;25
8;0;0.0;0.0;14;1141380;1927548;91;4.5;19;40;29;36;31
9;0;0.0;0.0;14;1141380;1927548;91;5.0;19;27;27;30;27
10;0;0.0;0.0;14;1141380;1927548;91;5.8;19;37;41;39;36
11;0;0.0;0.0;14;1141380;1927548;90;4.5;19;17;18;20;18
12;1;5571.428711;23428.572266;15;1181764;2059968;91;5.8;19;33;33;30;34
13;1;7036.144531;149493.968750;15;1182028;2059968;91;5.0;19;24;22;26;26
14;1;0.0;0.0;15;1182028;2059968;91;5.0;19;18;18;17;19
15;1;0.0;0.0;15;1182028;2059968;91;5.3;19;28;29;36;30
16;1;0.0;0.0;15;1182028;2059968;91;4.8;19;25;25;25;23
17;1;0.0;0.0;15;1182028;2059968;91;4.8;19;21;18;17;18
18;1;0.0;0.0;15;1182028;2059968;91;5.3;19;28;31;31;28
19;1;13047.619141;98476.187500;15;1182028;2059968;91;5.5;19;33;34;33;37
20;1;0.0;0.0;15;1182028;2059968;91;4.8;19;22;22;24;21
21;1;0.0;0.0;15;1182028;2059968;91;5.3;19;28;30;31;28
22;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;17;16;16
23;1;0.0;0.0;15;1182028;2059968;91;5.2;19;26;26;28;26
24;1;0.0;0.0;15;1182028;2059968;91;5.0;19;23;30;25;24
25;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;17;19;16
26;1;0.0;0.0;15;1182028;2059968;91;4.5;19;16;17;17;16
27;1;0.0;0.0;15;1182028;2059968;91;4.8;19;14;16;17;15
28;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;18;18;17
29;1;0.0;0.0;15;1182028;2059968;91;4.8;19;21;22;21;22
30;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;18;20;16
31;1;0.0;0.0;15;1182028;2059968;91;5.3;19;27;27;27;30
32;1;0.0;0.0;15;1182028;2059968;91;5.0;19;22;23;25;24
33;1;0.0;0.0;15;1182028;2059968;91;4.8;19;23;24;29;22
34;1;0.0;0.0;15;1182028;2059968;91;5.5;19;32;31;32;30
35;1;0.0;0.0;15;1182028;2059968;91;4.8;19;20;26;25;19
36;1;0.0;0.0;15;1182028;2059968;91;5.0;19;32;74;28;24
37;1;0.0;0.0;15;1182028;2059968;92;4.8;19;29;64;30;45
38;1;0.0;0.0;15;1182028;2059968;91;4.8;19;21;21;23;24
39;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;17;16;16
40;1;0.0;0.0;15;1182028;2059968;91;4.5;19;16;16;18;16
41;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;16;16;16
42;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;16;15;15
43;1;0.0;0.0;15;1182028;2059968;91;4.5;19;16;15;16;20
44;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;17;16;16
45;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;18;23;17
46;1;0.0;0.0;15;1182028;2059968;91;4.8;19;18;19;18;18
47;1;0.0;0.0;15;1182028;2059968;92;5.3;19;25;26;26;27
48;1;0.0;0.0;15;1182028;2059968;92;4.2;19;20;18;16;15
49;1;0.0;0.0;15;1182028;2059968;92;5.0;19;17;18;17;17
50;1;0.0;0.0;15;1182028;2059968;92;4.8;19;16;17;18;17
51;1;0.0;0.0;15;1182028;2059968;92;4.8;19;25;35;38;22
52;1;0.0;0.0;15;1182028;2059968;92;4.8;19;18;19;16;18
53;1;0.0;0.0;15;1182028;2059968;92;4.8;19;19;20;20;18
54;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;18;16;16
55;1;0.0;0.0;15;1182028;2059968;92;5.0;19;27;28;26;26
56;1;0.0;0.0;15;1182028;2059968;92;5.3;19;27;23;23;24
57;1;0.0;0.0;15;1182028;2059968;92;4.5;19;17;19;19;21
58;1;0.0;0.0;15;1182028;2059968;92;5.0;19;17;18;19;17
59;1;0.0;0.0;15;1182028;2059968;91;4.8;19;19;20;19;19
60;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;18;17;18
61;1;0.0;0.0;15;1182028;2059968;91;4.8;19;19;21;20;20
62;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;21;17;17
63;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;18;17;21
64;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;19;18;18
65;1;0.0;0.0;15;1182028;2059968;91;4.8;19;17;18;17;18
66;1;0.0;0.0;15;1182028;2059968;91;5.3;19;29;28;25;28
67;1;0.0;0.0;15;1182028;2059968;91;5.0;19;20;20;19;20
68;1;0.0;0.0;15;1182028;2059968;91;5.0;19;29;21;25;31
69;1;0.0;0.0;15;1182028;2059968;91;5.0;19;24;26;27;25
70;1;0.0;0.0;15;1182028;2059968;91;5.0;19;27;28;26;27
71;1;0.0;0.0;15;1182028;2059968;91;5.3;19;24;24;26;24
72;1;0.0;0.0;15;1182028;2059968;91;5.2;19;29;28;28;26
73;1;0.0;0.0;15;1182028;2059968;91;4.8;19;24;24;24;23
74;1;0.0;0.0;15;1182028;2059968;91;5.3;19;21;22;21;20
75;1;0.0;0.0;15;1182028;2059968;91;4.8;19;19;21;21;20
76;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;16;15;16
77;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;17;18;19
78;1;0.0;0.0;15;1182028;2059968;91;5.0;19;15;16;16;16
79;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;17;15;16
80;1;0.0;0.0;15;1182028;2059968;91;4.5;19;16;17;16;15
81;1;0.0;0.0;15;1182028;2059968;91;5.0;19;16;17;15;16
82;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;19;16;18
83;1;0.0;0.0;15;1182028;2059968;91;4.5;19;16;20;17;16
84;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;16;16;15
85;1;0.0;0.0;15;1182028;2059968;91;5.0;19;15;17;19;16
86;1;0.0;0.0;15;1182028;2059968;91;4.5;19;18;16;15;16
87;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;17;16;17
88;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;16;16;15
89;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;16;16;16
90;1;0.0;0.0;15;1182028;2059968;91;4.5;19;19;17;15;15
91;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;16;16;16
92;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;23;16;15
93;1;0.0;0.0;15;1182028;2059968;91;4.8;19;14;17;15;15
94;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;17;15;16
95;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;16;19;15
96;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;17;16;16
97;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;16;15;19
98;1;0.0;0.0;15;1182028;2059968;91;4.8;19;16;17;16;15
99;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;17;15;16
100;1;0.0;0.0;15;1182028;2059968;91;5.0;19;22;24;24;23
101;1;0.0;0.0;15;1182028;2059968;91;5.0;19;25;25;27;23
102;1;0.0;0.0;15;1182028;2059968;91;5.2;19;20;23;20;20
103;1;0.0;0.0;15;1182028;2059968;91;4.5;19;15;16;15;16
104;1;0.0;0.0;15;1182028;2059968;91;4.8;19;18;18;18;17
105;1;0.0;0.0;15;1182028;2059968;91;4.8;19;20;21;21;20
106;1;0.0;0.0;15;1182028;2059968;91;4.8;19;15;17;21;16
107;1;0.0;0.0;15;1182028;2059968;91;5.3;19;24;27;25;24
108;1;0.0;0.0;15;1182028;2059968;91;5.3;19;29;28;28;29
109;1;0.0;0.0;15;1182028;2059968;91;5.2;19;24;25;22;22
110;1;0.0;0.0;15;1182028;2059968;91;5.0;19;24;27;29;28
