time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
997;0;4294967295;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;955036;1386832;90;1.5;18;18;9.8;13;15
1996;0;4294967295;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;955036;1386832;90;1.5;18;10;13;39;23
2995;0;4294967295;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;955036;1386832;90;1.5;18;8.0;12;15;14
3994;0;4294967295;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;955036;1386832;91;2.0;18;84;29;38;33
4993;0;3350;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;955928;1452368;91;2.7;18;39;35;32;58
5143;0;3350;1;63;-63;-192;n/a;n/a;n/a;0.0;26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;970148;1452204;91;3.3;18;33;27;27;33
6142;0;3350;1;63;-63;-24;n/a;n/a;n/a;2.0;55;1.0;1734.939819;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;970148;1583276;91;3.5;18;23;20;20;18
7141;0;3350;1;63;-63;-0.022;n/a;n/a;n/a;0.0;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;970148;1583276;91;2.8;18;17;16;26;38
8140;0;3350;1;63;-63;-0.045;n/a;n/a;n/a;5.2;46;1.0;7300.000000;0;0.0;0.0;0.0;0.0;54;700;0;0.0;0.0;0.0;1.0;12;972516;1715696;92;3.5;18;15;16;14;16
9139;0;3350;1;63;-63;-0.034;n/a;n/a;n/a;2.8;46;1.0;7710.843262;0;0.0;0.0;0.0;22;0.0;164626.500000;0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.0;18;15;15;15;16
10138;0;3350;1;63;-63;-0.035;n/a;n/a;n/a;0.0;45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.3;18;14;14;14;43
11137;0;3350;1;63;-63;-0.054;n/a;n/a;n/a;0.0;45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.2;18;15;15;16;15
12136;0;3350;1;63;-63;-0.095;n/a;n/a;n/a;0.0;38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.0;18;15;15;15;16
13135;0;3350;1;63;-63;-0.13;n/a;n/a;n/a;0.0;34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.2;18;15;16;40;16
14134;0;3350;1;63;-63;-0.18;n/a;n/a;n/a;0.0;33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;972776;1715696;92;3.2;18;16;15;16;16
15133;0;3350;1;62;-62;-0.24;n/a;n/a;n/a;8.2;33;1.0;13204.819336;0;0.0;0.0;0.0;22;0.0;99662.648438;0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.3;19;16;16;15;21
16132;0;3350;1;61;-61;-0.22;n/a;n/a;n/a;0.0;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.2;19;13;14;14;15
17131;0;3350;1;61;-61;-0.13;n/a;n/a;n/a;0.0;32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.0;19;15;15;14;14
18130;0;3350;1;60;-60;-0.24;n/a;n/a;n/a;0.0;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.3;19;15;15;16;16
19129;0;3350;1;58;-58;-0.38;n/a;n/a;n/a;0.0;29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.0;19;15;15;15;16
20128;0;3350;1;58;-58;-0.26;n/a;n/a;n/a;0.0;28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.5;19;15;15;16;16
21127;0;3350;1;58;-58;-0.38;n/a;n/a;n/a;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;980960;1789428;92;3.5;19;22;16;17;23
