time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;10;807552;1266524;81;1.5;16;3.8;2.8;4.8;3.8
1;0;0.0;0.0;10;807552;1266524;81;1.0;16;1.00;10;5.0;4.0
2;0;0.0;0.0;10;807552;1266524;81;1.3;16;1.9;0.90;4.9;1.9
3;0;0.0;0.0;10;807552;1266524;87;1.0;16;13;4.9;5.9;2.9
4;1;7658.119629;81914.531250;11;848584;1530556;93;5.5;16;25;29;15;47
5;1;0.0;4339.979004;11;848584;1530556;93;8.3;16;19;20;13;24
6;1;0.0;0.0;11;848584;1530556;93;8.5;16;21;19;14;23
7;1;0.0;0.0;11;848584;1530556;93;8.0;16;20;20;13;23
8;1;0.0;0.0;11;848584;1530556;93;8.5;16;17;21;18;25
9;1;0.0;0.0;11;848584;1530556;93;9.0;16;21;28;25;32
10;1;1258.711670;4367.476074;11;848584;1530556;93;8.8;16;19;24;31;28
11;1;0.0;4344.537598;11;848584;1530556;93;8.5;16;16;24;20;25
12;1;0.0;0.0;11;848584;1530556;93;8.2;16;15;19;19;23
13;1;0.0;0.0;11;848584;1530556;93;8.2;16;13;19;20;24
14;1;0.0;0.0;11;848584;1530556;93;8.3;16;15;20;24;24
15;1;0.0;0.0;11;848584;1530556;93;9.0;16;22;30;23;33
16;1;0.0;0.0;11;848584;1530556;93;8.8;16;17;23;20;28
17;1;0.0;0.0;11;848584;1530556;93;8.0;16;15;19;19;22
18;1;0.0;0.0;11;848584;1530556;93;8.3;16;14;18;18;25
19;1;0.0;0.0;11;848584;1530556;93;8.5;16;16;20;19;24
20;1;0.0;0.0;11;848584;1530556;93;9.2;16;27;27;27;40
21;1;0.0;0.0;11;848584;1530556;93;8.8;16;24;28;26;33
22;1;0.0;0.0;11;848584;1530556;93;8.3;16;16;20;19;24
23;1;0.0;0.0;11;848584;1530556;93;8.5;16;14;20;21;21
24;1;0.0;0.0;11;848584;1530556;93;8.3;16;15;21;20;22
25;1;0.0;0.0;11;848584;1530556;93;9.2;16;24;30;32;34
26;1;0.0;0.0;11;848584;1530556;93;8.8;16;19;23;22;26
27;1;0.0;0.0;11;848584;1530556;93;8.8;16;29;26;26;29
28;1;0.0;0.0;11;848584;1530556;93;8.8;16;17;24;21;29
29;1;0.0;0.0;11;848584;1530556;93;8.5;16;16;20;21;26
30;1;0.0;0.0;11;848584;1530556;93;9.0;16;25;26;27;30
31;1;0.0;0.0;11;848584;1530556;93;8.8;16;18;29;22;30
32;1;0.0;0.0;11;848584;1530556;93;8.8;16;17;20;23;30
33;1;0.0;0.0;11;848584;1530556;93;8.0;16;17;13;20;28
34;1;0.0;0.0;11;848584;1530556;93;8.5;16;22;22;22;28
35;1;0.0;0.0;11;848584;1530556;93;9.3;16;26;34;29;24
36;1;0.0;0.0;11;848584;1530556;93;8.8;16;23;25;24;21
37;1;0.0;0.0;11;848584;1530556;93;8.8;16;26;36;30;23
38;1;0.0;0.0;11;848584;1530556;93;8.5;16;18;27;24;19
39;1;0.0;0.0;11;848584;1530556;93;8.8;16;26;29;24;31
40;1;0.0;0.0;11;848584;1530556;93;8.3;16;20;24;20;16
41;1;0.0;0.0;11;848584;1530556;93;8.5;16;20;28;22;16
42;1;0.0;0.0;11;848584;1530556;93;8.2;16;19;23;20;16
43;1;0.0;0.0;11;848584;1530556;93;8.3;16;21;23;21;16
44;1;0.0;0.0;11;848584;1530556;93;8.5;16;20;24;21;17
45;1;0.0;0.0;11;848584;1530556;93;8.5;16;19;20;23;22
46;1;0.0;0.0;11;848584;1530556;93;8.3;16;19;23;20;17
47;1;0.0;0.0;11;848584;1530556;93;8.2;16;20;20;25;20
48;1;0.0;0.0;11;848584;1530556;93;8.5;16;18;19;24;17
49;1;0.0;0.0;11;848584;1530556;93;9.0;16;34;26;30;22
50;1;0.0;0.0;11;848584;1530556;93;8.2;16;19;22;20;15
51;1;0.0;0.0;11;848584;1530556;93;8.0;16;22;22;20;15
52;1;0.0;0.0;11;848584;1530556;93;8.3;16;20;22;20;16
53;1;0.0;0.0;11;848584;1530556;93;8.5;16;19;22;19;16
54;1;0.0;0.0;11;848584;1530556;93;8.3;16;19;21;20;16
55;1;0.0;0.0;11;848584;1530556;93;8.2;16;19;22;19;15
56;1;0.0;0.0;11;848584;1530556;93;8.8;16;18;26;25;20
57;1;0.0;0.0;11;848584;1530556;93;8.0;16;22;20;25;18
58;1;0.0;0.0;11;848584;1530556;93;8.5;16;20;23;22;17
59;1;0.0;0.0;11;848584;1530556;93;8.5;16;15;22;23;16
60;1;0.0;0.0;11;848584;1530556;93;8.0;16;16;23;24;15
61;1;0.0;0.0;11;848584;1530556;93;8.2;16;21;23;21;18
62;0;0.0;0.0;11;846900;1528668;93;8.8;16;22;25;24;23
63;0;0.0;0.0;11;846900;1528668;93;4.5;16;11;12;13;12
64;0;0.0;0.0;11;846900;1528668;93;1.3;16;2.9;2.9;4.9;3.9
65;0;0.0;0.0;11;846900;1528668;93;1.2;16;1.00;3.0;4.0;7.0
#eof
