time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
996;0;3350;22;63;-63;0.0013;n/a;n/a;n/a;2.7;138;1.0;1759.479980;0;0.0;0.0;0.0;22;0.0;14864.572266;0;0.0;0.0;0.0;1.0;12;989936;1668788;93;8.8;18;28;22;17;25
1995;0;3350;22;63;-63;0.00000071;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;989936;1668788;93;8.5;18;20;20;13;24
2994;0;3350;22;63;-63;0.00000077;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;989936;1668788;93;8.5;18;20;20;14;22
3993;0;3350;22;63;-63;0.00000067;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;989936;1668788;93;8.8;18;20;20;14;25
4992;0;3350;22;63;-63;0.00000076;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;989936;1668788;93;9.0;18;16;24;23;28
5991;0;3350;22;63;-63;0.00000073;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;989936;1668788;93;9.2;18;22;25;31;30
6990;0;3350;22;63;-63;0.00000074;n/a;n/a;n/a;8.8;140;1.0;1257.383911;0;0.0;0.0;0.0;22;0.0;8725.738281;0;0.0;0.0;0.0;1.0;12;998120;1742520;93;8.6;19;15;21;21;24
6990;0;3350;22;63;-63;0.00000076;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0
7501;0;3350;22;63;-63;0.00000081;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;998120;1742520;93;9.8;19;28;28;24;36
8500;0;3350;22;63;-63;0.00000069;n/a;n/a;n/a;0.0;140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12;998120;1742520;93;8.7;19;16;21;19;25
