time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;14;1082864;1795128;69;14;14;36;33;39;42
1;0;0.0;0.0;14;1083656;1795128;69;7.5;14;19;23;20;22
2;0;0.0;0.0;14;1083656;1795128;69;7.5;14;26;27;26;31
3;0;0.0;0.0;14;1083656;1795128;69;8.3;14;33;31;32;39
4;0;0.0;0.0;14;1083656;1795128;69;7.5;14;24;30;27;33
5;0;0.0;0.0;14;1083656;1795128;69;7.5;14;23;26;26;33
6;0;0.0;0.0;14;1083656;1795128;69;8.3;14;33;37;37;43
7;0;0.0;0.0;14;1083656;1795128;69;7.2;14;19;21;23;30
8;0;0.0;0.0;14;1083656;1795128;69;7.3;14;17;16;20;26
9;0;0.0;0.0;14;1083656;1795128;69;7.0;14;15;24;19;20
10;0;0.0;0.0;14;1083656;1795128;69;7.0;14;14;22;18;21
11;0;0.0;0.0;14;1083656;1795128;69;7.0;14;15;18;19;23
12;0;0.0;0.0;14;1083656;1795128;69;7.0;14;15;15;19;27
13;0;0.0;0.0;14;1083656;1795128;69;7.0;14;18;17;19;28
14;0;0.0;0.0;14;1083656;1795128;69;7.0;14;15;15;19;25
15;0;0.0;0.0;14;1083656;1795128;69;7.0;14;16;21;20;26
16;0;0.0;0.0;14;1083656;1795128;69;7.0;14;15;15;18;27
17;0;0.0;0.0;14;1083656;1795128;69;7.5;14;14;17;19;27
18;0;0.0;0.0;14;1083656;1795128;69;21;14;43;60;52;62
19;0;0.0;0.0;14;1083920;1795128;69;24;14;46;65;53;70
20;0;0.0;0.0;14;1084184;1795128;70;24;14;65;41;56;68
21;0;0.0;0.0;14;1084184;1795128;70;24;14;64;41;56;68
22;0;0.0;0.0;14;1084448;1795128;69;25;14;65;45;58;67
23;0;0.0;0.0;14;1084712;1795128;70;25;14;65;45;55;68
24;0;0.0;0.0;14;1084976;1795128;70;24;14;65;43;55;67
25;0;0.0;0.0;14;1085240;1795128;70;25;14;64;48;55;69
26;0;0.0;0.0;14;1085240;1795128;70;24;14;66;41;59;66
27;0;0.0;0.0;14;1085504;1795128;70;25;14;52;55;54;70
28;0;0.0;0.0;14;1085768;1795128;70;24;14;41;68;53;68
29;0;0.0;0.0;14;1086032;1795128;70;24;14;41;66;52;68
30;0;0.0;0.0;14;1086032;1795128;70;24;14;44;67;51;69
31;0;0.0;0.0;14;1086296;1795128;70;24;14;64;72;54;68
32;0;0.0;0.0;14;1086560;1795128;70;24;14;48;70;51;72
33;0;0.0;0.0;14;1086560;1795128;70;11;14;24;30;28;31
34;0;0.0;0.0;14;1086560;1795128;70;7.0;14;19;23;22;23
35;0;0.0;0.0;14;1086560;1795128;70;15;14;36;48;36;46
36;0;0.0;0.0;14;1087088;1795128;70;26;14;50;77;56;72
37;0;0.0;0.0;14;1087352;1795128;70;24;14;41;66;54;69
38;0;0.0;0.0;14;1087616;1795128;70;25;14;40;72;54;71
39;0;0.0;0.0;14;1088140;1795128;70;26;14;46;73;55;73
40;0;0.0;0.0;14;1088404;1795128;70;26;14;44;71;56;72
41;0;0.0;0.0;14;1088668;1795128;70;26;14;43;71;56;72
42;0;0.0;0.0;14;1088932;1795128;70;25;14;42;70;56;71
43;0;0.0;0.0;14;1089196;1795128;71;26;14;46;72;56;70
44;0;0.0;0.0;14;1089460;1795128;71;26;14;42;73;54;71
45;0;0.0;0.0;14;1089724;1795128;71;25;14;44;70;56;71
46;0;0.0;0.0;14;1089988;1795128;71;25;14;44;69;57;72
47;0;0.0;0.0;14;1090252;1795128;71;26;14;41;75;55;73
48;0;0.0;0.0;14;1090516;1795128;71;26;14;45;73;60;72
49;0;0.0;0.0;14;1091044;1795128;71;26;14;45;73;59;75
50;0;0.0;0.0;14;1091308;1795128;71;20;14;34;60;47;61
51;0;0.0;0.0;14;1091308;1795128;71;7.3;14;16;19;19;22
52;0;0.0;0.0;14;1091308;1795128;71;7.5;14;44;23;28;31
53;0;0.0;0.0;14;1091308;1795128;71;11;14;30;34;28;35
54;0;0.0;0.0;14;1091308;1795128;71;9.8;14;20;32;25;29
55;0;0.0;0.0;14;1091308;1795128;71;10;14;22;32;24;29
56;0;0.0;0.0;14;1091308;1795128;71;10;14;20;30;25;28
57;0;0.0;0.0;14;1091308;1795128;71;10;14;20;32;24;29
58;0;0.0;0.0;14;1091308;1795128;71;10;14;21;30;25;29
59;0;0.0;0.0;14;1091308;1795128;71;10;14;20;31;24;29
60;0;0.0;0.0;14;1091308;1795128;71;10;14;22;32;24;29
61;0;0.0;0.0;14;1091308;1795128;71;10;14;20;31;25;33
62;0;0.0;0.0;14;1091572;1795128;71;10;14;40;34;25;30
63;0;0.0;0.0;14;1091572;1795128;71;10;14;22;45;59;29
64;0;0.0;0.0;14;1091572;1795128;71;10;14;19;30;25;29
65;0;0.0;0.0;14;1091572;1795128;71;10;14;21;27;28;32
66;0;0.0;0.0;14;1091572;1795128;71;9.8;14;22;29;25;31
67;0;0.0;0.0;14;1091572;1795128;71;10;14;22;30;25;32
68;0;0.0;0.0;14;1091572;1795128;71;8.0;14;19;26;22;29
69;0;0.0;0.0;14;1091572;1795128;71;7.2;14;15;22;20;20
70;0;0.0;0.0;14;1091572;1795128;71;14;14;39;48;41;45
71;0;0.0;0.0;14;1091836;1795128;71;24;14;54;73;65;73
72;0;0.0;0.0;14;1091836;1795128;71;23;14;41;68;53;68
