time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
999;0;368500;500;76;0.0;-0.000011;n/a;n/a;n/a;24;170;1.0;471234.500000;0;0.0;0.0;0.0;28;0.0;717367.000000;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;11;18;26;27;27;21
1998;0;368500;500;85;0.0;-0.000015;n/a;n/a;n/a;0.0;170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;26;22;24;20
2997;0;368500;500;85;0.0;-0.000015;n/a;n/a;n/a;0.0;170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;29;29;29;29
3996;0;368500;500;85;0.0;-0.000015;n/a;n/a;n/a;0.0;170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;22;23;23;20
4995;0;368500;500;85;0.0;-0.000017;n/a;n/a;n/a;0.0;169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;22;23;25;19
5994;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72457.859375;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;26;19;21;17
6993;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;78785.859375;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;9.8;18;20;22;21;16
7992;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;inf;1.1;72307.375000;0;0.0;0.0;0.0;28;0.0;118056.078125;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;21;22;22;18
8991;0;368500;500;84;0.0;-0.000018;n/a;n/a;n/a;28;inf;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;21;24;21;19
9990;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;inf;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;22;24;25;21
10989;0;368500;500;84;0.0;-0.000015;n/a;n/a;n/a;28;inf;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;26;24;24;22
11988;0;368500;500;84;0.0;-0.000014;n/a;n/a;n/a;28;170;1.1;74632.367188;0;0.0;0.0;0.0;28;0.0;121852.093750;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;81;13;18;58;63;58;57
12987;0;368500;500;84;0.0;-0.000018;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;31;28;26;27
13986;0;368500;500;84;0.0;-0.000013;n/a;n/a;n/a;28;169;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;27;26;29;24
14985;0;368500;500;84;0.0;-0.000017;n/a;n/a;n/a;27;170;1.0;70335.070312;0;0.0;0.0;0.0;28;0.0;118301.765625;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;27;27;23;23
15984;0;368500;500;84;0.0;-0.000016;n/a;n/a;n/a;28;170;1.1;72382.539062;0;0.0;0.0;0.0;28;0.0;118178.796875;0;0.0;0.0;0.0;0.0;9.6;766620;1581432;80;10;18;25;23;25;19
