time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;13;1068988;1846808;55;9.6;15;20;27;30;26
1;0;0.0;0.0;13;1068988;1846808;55;7.0;15;15;21;20;21
2;0;0.0;0.0;13;1068988;1846808;55;6.8;15;17;18;19;27
3;0;0.0;0.0;13;1068988;1846808;55;6.8;15;15;17;18;27
4;0;0.0;0.0;13;1068988;1846808;55;7.0;15;15;16;18;28
5;0;0.0;0.0;13;1068988;1846808;55;6.5;15;17;17;18;34
6;0;0.0;0.0;13;1068988;1846808;55;7.0;15;15;16;18;28
7;0;0.0;0.0;13;1068988;1846808;56;6.8;15;15;16;17;27
8;0;0.0;0.0;13;1068988;1846808;55;6.8;15;16;16;18;28
9;0;0.0;0.0;13;1068988;1846808;55;7.0;15;16;18;18;27
10;0;0.0;0.0;13;1068988;1846808;55;6.8;15;18;17;19;30
11;0;0.0;0.0;13;1068988;1846808;55;7.0;15;17;17;18;30
12;0;0.0;0.0;13;1068988;1846808;55;6.8;15;15;20;18;20
13;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;19;17;19
14;0;0.0;0.0;13;1068988;1846808;56;6.8;15;14;21;19;21
15;0;0.0;0.0;13;1068988;1846808;56;6.8;15;15;22;18;21
16;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;26;18;20
17;0;0.0;0.0;13;1068988;1846808;56;7.0;15;15;23;18;21
18;0;0.0;0.0;13;1068988;1846808;56;7.0;15;17;22;19;23
19;0;0.0;0.0;13;1068988;1846808;56;6.5;15;16;19;17;22
20;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;17;21;26
21;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;17;18;28
22;0;0.0;0.0;13;1068988;1846808;56;7.0;15;15;17;17;29
23;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;17;18;29
24;0;0.0;0.0;13;1068988;1846808;56;7.0;15;15;16;17;28
25;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;16;19;27
26;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;16;18;28
27;0;0.0;0.0;13;1068988;1846808;56;7.0;15;17;16;17;29
28;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;16;18;29
29;0;0.0;0.0;13;1068988;1846808;56;7.3;15;24;27;23;32
30;0;0.0;0.0;13;1068988;1846808;56;7.0;15;19;22;20;25
31;0;0.0;0.0;13;1068988;1846808;56;6.8;15;15;20;24;21
32;0;0.0;0.0;13;1068988;1846808;55;7.0;15;17;24;20;19
33;0;0.0;0.0;13;1068988;1846808;55;6.8;15;16;27;17;15
34;0;0.0;0.0;13;1068988;1846808;55;6.8;15;17;26;19;17
35;0;0.0;0.0;13;1068988;1846808;55;6.8;15;16;26;17;16
36;0;0.0;0.0;13;1068988;1846808;55;7.0;15;17;32;18;18
37;0;0.0;0.0;13;1068988;1846808;56;7.5;15;26;35;28;22
38;0;0.0;0.0;13;1068988;1846808;56;7.0;15;19;28;21;22
39;0;0.0;0.0;13;1068988;1846808;56;7.0;15;17;28;19;18
40;0;0.0;0.0;13;1068988;1846808;56;7.0;15;21;27;21;20
41;0;0.0;0.0;13;1068988;1846808;56;7.0;15;19;28;20;22
42;0;0.0;0.0;13;1068988;1846808;56;7.8;15;26;35;34;29
43;0;0.0;0.0;13;1068988;1846808;56;7.3;15;24;32;26;27
44;0;0.0;0.0;13;1068988;1846808;56;7.0;15;16;27;18;16
45;0;0.0;0.0;13;1068988;1846808;56;6.8;15;15;26;18;14
46;0;0.0;0.0;13;1068988;1846808;56;6.8;15;15;26;19;15
47;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;26;17;15
48;0;0.0;0.0;13;1068988;1846808;56;6.7;15;15;28;18;14
49;0;0.0;0.0;13;1068988;1846808;56;6.8;15;16;26;18;14
50;0;0.0;0.0;13;1068988;1846808;56;7.0;15;16;25;17;14
51;0;0.0;0.0;13;1068988;1846808;56;6.5;15;19;28;18;15
52;0;0.0;0.0;13;1068988;1846808;56;7.0;15;19;27;20;20
53;0;0.0;0.0;13;1068988;1846808;56;7.3;15;21;30;25;32
54;0;0.0;0.0;13;1068988;1846808;56;7.3;15;23;32;24;22
55;0;0.0;0.0;13;1068988;1846808;57;8.3;15;40;45;36;40
56;0;0.0;0.0;13;1068988;1846808;56;7.2;15;21;27;23;22
57;0;0.0;0.0;13;1068988;1846808;56;7.5;15;30;26;26;26
58;0;0.0;0.0;13;1068988;1846808;56;7.0;15;25;38;35;37
59;0;0.0;0.0;13;1068988;1846808;56;7.3;15;21;28;23;21
60;0;0.0;0.0;13;1068988;1846808;56;7.5;15;26;33;29;24
61;0;0.0;0.0;13;1068988;1846808;56;7.0;15;16;27;18;20
